Country,Cases,Deaths,Recoveries,Death Rate,Recovery Rate
Seychelles,153,0,149,0.0,0.9738562091503268
Costa Atlantica,148,0,148,0.0,1.0
Brunei,148,3,143,0.02027027027027027,0.9662162162162162
Bonaire,134,3,126,0.022388059701492536,0.9402985074626866
Greg Mortimer,128,1,,0.0078125,
Antigua and Barbuda,128,3,117,0.0234375,0.9140625
Northern Mariana Islands ,100,2,19,0.02,0.19
South Ossetia,90,0,90,0.0,1.0
Saint Vincent,78,0,76,0.0,0.9743589743589743
British Virgin Islands,71,1,70,0.014084507042253521,0.9859154929577465
Dominica,68,0,41,0.0,0.6029411764705882
Macau,46,0,46,0.0,1.0
Fiji,35,2,32,0.05714285714285714,0.9142857142857143
East Timor,30,0,29,0.0,0.9666666666666667
Sahrawi Arab DR,28,2,26,0.07142857142857142,0.9285714285714286
Grenada,28,0,24,0.0,0.8571428571428571
New Caledonia,28,0,28,0.0,1.0
Vatican City,27,0,15,0.0,0.5555555555555556
Laos,24,0,23,0.0,0.9583333333333334
Saint Kitts and Nevis,19,0,19,0.0,1.0
Greenland,17,0,17,0.0,1.0
Saint Pierre and Miquelon,16,0,12,0.0,0.75
Sint Eustatius,14,0,4,0.0,0.2857142857142857
Falkland Islands,13,0,13,0.0,1.0
Montserrat,13,1,12,0.07692307692307693,0.9230769230769231
MS Zaandam,13,4,,0.3076923076923077,
Solomon Islands,13,0,4,0.0,0.3076923076923077
Coral Princess,12,3,,0.25,
HNLMS Dolfijn,8,0,8,0.0,1.0
SeaDream I,7,0,,0.0,
Saba,5,0,5,0.0,1.0
Anguilla,3,0,3,0.0,1.0
Marshall Islands,2,0,2,0.0,1.0
Wallis and Futuna,1,0,1,0.0,1.0
Vanuatu,1,0,0,0.0,0.0
Tanzania,,,,,
